Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
91	20	131	14957.19	16.0	real
92	131	21	13443.77	17.0	real
93	21	28	51980.869	6.976	real
94	22	37	11112.15	18.87	real
95	22	133	18743.124	14.0	real
96	133	30	16706.241	15.0	real
97	23	30	47846.706	7.424	real
98	24	135	27389.072	11.0	real
99	135	27	27389.072	11.0	real
100	25	137	23976.664	12.0	real
101	137	27	21136.187	13.0	real
102	25	37	11767.761	18.296	real
103	26	139	13443.77	17.0	real
104	139	27	12125.44	18.0	real
105	26	141	13443.77	17.0	real
106	141	27	12125.44	18.0	real
107	26	143	16706.241	15.0	real
108	143	29	16706.241	15.0	real
109	28	145	21136.187	13.0	real
110	145	29	21136.187	13.0	real
111	30	36	16353.557	15.19	real
112	30	147	13443.77	17.0	real
113	147	148	12125.44	18.0	real
114	148	38	12125.44	18.0	real
115	30	31	22765.293	12.405	real
116	32	33	150977.289	2.898	real
117	32	38	10646.337	19.305	real
118	32	39	14820.025	16.085	real
119	33	34	28516.856	10.708	real
120	34	35	19041.397	13.866	real
121	37	38	22151.433	12.622	real
122	37	38	22151.433	12.622	real
123	38	39	38474.335	8.704	real
124	40	150	21136.187	13.0	real
125	150	151	18743.124	14.0	real
126	151	41	18743.124	14.0	real
127	40	153	18743.124	14.0	real
128	153	49	16706.241	15.0	real
129	42	155	21136.187	13.0	real
130	155	44	21136.187	13.0	real
131	42	157	13443.77	17.0	real
132	157	46	12125.44	18.0	real
133	43	44	12488.403	17.711	real
134	43	46	18403.882	14.156	real
135	45	159	16706.241	15.0	real
136	159	160	14957.19	16.0	real
137	160	161	14957.19	16.0	real
138	161	47	14957.19	16.0	real
139	46	163	18743.124	14.0	real
140	163	47	16706.241	15.0	real
141	47	165	31547.867	10.0	real
142	165	48	27389.072	11.0	real
143	48	49	10730.097	19.225	real
144	0	168	151077.289	0	virtual
145	168	1	14730.57	16.141	real
146	0	169	151077.289	0	virtual
147	169	1	14730.57	16.141	real
148	0	170	151077.289	0	virtual
149	170	1	14730.57	16.141	real
150	1	171	151077.289	0	virtual
151	171	50	12125.44	18.0	real
152	1	172	151077.289	0	virtual
153	172	50	12125.44	18.0	real
154	1	173	151077.289	0	virtual
155	173	50	12125.44	18.0	real
156	50	174	151077.289	0	virtual
157	174	51	12125.44	18.0	real
158	50	175	151077.289	0	virtual
159	175	51	12125.44	18.0	real
160	50	176	151077.289	0	virtual
161	176	51	12125.44	18.0	real
162	51	177	151077.289	0	virtual
163	177	52	10970.247	19.0	real
164	51	178	151077.289	0	virtual
165	178	52	10970.247	19.0	real
166	51	179	151077.289	0	virtual
167	179	52	10970.247	19.0	real
168	52	180	151077.289	0	virtual
169	180	53	10970.247	19.0	real
170	52	181	151077.289	0	virtual
171	181	53	10970.247	19.0	real
172	52	182	151077.289	0	virtual
173	182	53	10970.247	19.0	real
174	53	183	151077.289	0	virtual
175	183	54	10970.247	19.0	real
176	53	184	151077.289	0	virtual
177	184	54	10970.247	19.0	real
178	53	185	151077.289	0	virtual
179	185	54	10970.247	19.0	real
180	54	186	151077.289	0	virtual
181	186	8	10970.247	19.0	real
182	54	187	151077.289	0	virtual
183	187	8	10970.247	19.0	real
184	54	188	151077.289	0	virtual
185	188	8	10970.247	19.0	real
186	1	189	151077.289	0	virtual
187	189	56	27389.072	11.0	real
188	1	190	151077.289	0	virtual
189	190	56	27389.072	11.0	real
190	1	191	151077.289	0	virtual
191	191	56	27389.072	11.0	real
192	56	192	151077.289	0	virtual
193	192	3	27389.072	11.0	real
194	56	193	151077.289	0	virtual
195	193	3	27389.072	11.0	real
196	56	194	151077.289	0	virtual
197	194	3	27389.072	11.0	real
198	2	195	151077.289	0	virtual
199	195	58	14957.19	16.0	real
200	2	196	151077.289	0	virtual
201	196	58	14957.19	16.0	real
202	2	197	151077.289	0	virtual
203	197	58	14957.19	16.0	real
204	58	198	151077.289	0	virtual
205	198	41	14957.19	16.0	real
206	58	199	151077.289	0	virtual
207	199	41	14957.19	16.0	real
208	58	200	151077.289	0	virtual
209	200	41	14957.19	16.0	real
210	2	201	151077.289	0	virtual
211	201	60	23976.664	12.0	real
212	2	202	151077.289	0	virtual
213	202	60	23976.664	12.0	real
214	2	203	151077.289	0	virtual
215	203	60	23976.664	12.0	real
216	60	204	151077.289	0	virtual
217	204	3	23976.664	12.0	real
218	60	205	151077.289	0	virtual
219	205	3	23976.664	12.0	real
220	60	206	151077.289	0	virtual
221	206	3	23976.664	12.0	real
222	2	207	151077.289	0	virtual
223	207	62	23976.664	12.0	real
224	2	208	151077.289	0	virtual
225	208	62	23976.664	12.0	real
226	2	209	151077.289	0	virtual
227	209	62	23976.664	12.0	real
228	62	210	151077.289	0	virtual
229	210	3	23976.664	12.0	real
230	62	211	151077.289	0	virtual
231	211	3	23976.664	12.0	real
232	62	212	151077.289	0	virtual
233	212	3	23976.664	12.0	real
234	2	213	151077.289	0	virtual
235	213	64	14957.19	16.0	real
236	2	214	151077.289	0	virtual
237	214	64	14957.19	16.0	real
238	2	215	151077.289	0	virtual
239	215	64	14957.19	16.0	real
240	64	216	151077.289	0	virtual
241	216	65	13443.77	17.0	real
242	64	217	151077.289	0	virtual
243	217	65	13443.77	17.0	real
244	64	218	151077.289	0	virtual
245	218	65	13443.77	17.0	real
246	65	219	151077.289	0	virtual
247	219	6	13443.77	17.0	real
248	65	220	151077.289	0	virtual
249	220	6	13443.77	17.0	real
250	65	221	151077.289	0	virtual
251	221	6	13443.77	17.0	real
252	3	222	151077.289	0	virtual
253	222	67	16706.241	15.0	real
254	3	223	151077.289	0	virtual
255	223	67	16706.241	15.0	real
256	3	224	151077.289	0	virtual
257	224	67	16706.241	15.0	real
258	67	225	151077.289	0	virtual
259	225	49	14957.19	16.0	real
260	67	226	151077.289	0	virtual
261	226	49	14957.19	16.0	real
262	67	227	151077.289	0	virtual
263	227	49	14957.19	16.0	real
